Country,HDI,latitude,longitude,Life expectancy,Mean years of schooling,Gross national income (GNI) per capita,Gender Development Index value,Mean years of schooling Female,Mean years of schooling Male,Estimated gross national income per capita Female,Estimated gross national income per capita Male,Share of seats in parliament (% held by women),Population with at least some secondary education % (2005-2015) Female,Population with at least some secondary education % (2005-2015) Male,Labour force participation rate (% ages 15 and older) Female,Population Average annual growth 2000/2005 (%),Population Average annual growth 2010/2015 (%),Population Urban 2015 %,Population Median age (years) 2015,Dependency Ration Young age (0-14) /(per 100 people ages 15-64),Dependency Ratio Old age (65 and older) /(per 100 people ages 15-64),Total fertility rate (birth per woman) 2000/2005,Total fertility rate (birth per woman) 2000/2007,Infants exclusively breastfed (% ages 0-5 months) 2010-2015,Infants lacking immunization DTP (% of one-year-olds),Infants lacking immunization Measles (% of one-year-olds),Child malnutrition Stunting (moderate or severe) 2010-2015,"Mortality rates Infant (per 1,000 live births) 2015","Mortality rates Under-five (per 1,000 live births) 2015","Mortality rates Female Adult (per 1,000 live births) 2014","Mortality rates Male Adult (per 1,000 live births) 2014","Deaths due to Malria (per 100,000 people)","Deaths due to Tuberculosis (per 100,000 people)","HIV prevalence, adult (% ages 15-49)",Life expectancy at age 59 (years) 2010/2015,"Physicians  (per 10,000 people) 2001-2014",Public health expenditure (% of GDP) 2014,Employment to population ratio (% ages 15 and older),Labour force participation rate (% ages 15 and older),Employment in agriculture (% of total employment) 2010-2014,Employment in services (% of total employment) 2010- 2014,Total Unemployment (% of labour force) 2015,Unemployment Youth (% ages 15-24) 2010-2014,Unemployment Youth not in school or employment (% ages 15-24) 2010-2014,Vulnerable employment (% of total employment) 2005-2014,Working poor at PPP$3.10 a day (%) 2004-2013,Old-age pension recipients  (% of statutory pension age population) 2004-2013,Internet users (% 2010 -2015),Coefficient of human inequality,Inequality in life expectancy (%) 2010-2015,Inequality-adjusted life expectancy index,Child labour  (% ages 5-14) 2009-2015,Inequality in education(%),Inequality in income (%),Mandatory paid maternity leave (days)
Armenia,0.743,40.0768,44.8402,74.9,11.3,8189,0.993,11.3,11.3,5535,11258,10.7,98.5,98.1,54.9,-0.4,0.4,62.7,34.6,26.0,15.3,1.7,1.6,34.6,3,3,20.8,12.6,14.1,70,170,,4.7,0.2,19.6,27.0,1.9,53.0,63.3,36.3,46.7,16.3,37.2,40.9,42.4,13.6,80.0,-11.7,9.2,10.1,0.759,4,3.7,13.9,140
Ukraine,0.743,48.792,31.0623,71.1,11.3,7361,1.000,11.3,11.3,5791,9181,12.1,94.3,96.0,52.2,-0.8,-0.4,69.7,40.3,21.4,21.9,1.1,1.5,19.7,10,21,3.7,7.7,9.0,111,292,,13.0,0.9,18.1,35.4,3.6,53.2,59.1,14.8,59.1,9.9,23.1,20.0,18.1,1.9,95.0,23,7.2,8.7,0.718,2,3.6,9.2,126
Jordan,0.741,31.3293,36.2789,74.2,10.1,10111,0.864,9.7,10.7,3203,16694,11.6,78.5,82.7,14.2,2.2,3.1,83.7,22.5,58.5,6.2,3.9,3.5,22.7,2,2,7.8,15.4,17.9,94,128,,0.3,,19.0,25.6,5.2,34.8,40.0,1.8,79.6,12.8,33.4,24.6,9.7,12.7,42.2,74.9,16.4,11.9,0.734,2,16.9,20.5,70
Peru,0.740,-9.18663,-75.7662,74.8,9.0,11295,0.959,8.4,9.5,8939,13655,22.3,56.2,67.0,65.7,1.3,1.3,78.6,27.5,42.7,10.5,2.8,2.5,68.4,2,11,14.6,13.1,16.9,96,154,0.7,7.2,0.3,21.3,11.3,3.3,71.5,74.1,,75.9,3.5,9.3,15.3,46.3,12.1,33.2,10.4,21.3,14.2,0.724,34,20.3,29.5,90
Thailand,0.740,13.0205,101.697,74.6,7.9,14519,1.001,7.7,8.2,12938,16145,6.1,40.9,45.8,62.9,1.0,0.4,50.4,38.0,24.7,14.6,1.6,1.5,12.3,1,1,16.3,10.5,12.3,105,207,0.9,11.0,1.1,21.4,3.9,5.6,70.6,71.4,41.9,37.5,1.1,4.7,13.8,55.9,1.5,81.7,16.5,20.2,10.4,0.753,8,16.1,34.0,90
Ecuador,0.739,-1.83318,-78.2942,76.1,8.3,10536,0.976,8.2,8.4,8278,12795,41.6,48.2,49.4,49.0,1.7,1.6,63.7,26.6,45.1,10.4,2.9,2.6,40.0,16,15,25.2,18.4,21.6,87,164,0.0,2.9,0.3,22.9,17.2,4.5,61.4,64.2,25.3,54.3,4.3,10.9,3.8,39.0,11.2,53.0,-19.4,20.2,15.1,0.733,3,15.5,30.1,84
China,0.738,36.9026,98.5938,76.0,7.6,13345,0.954,7.2,7.9,10705,15830,23.6,69.8,79.4,63.6,0.6,0.5,55.6,37.0,23.5,13.0,1.5,1.6,27.6,1,1,9.4,9.2,10.7,72,98,0.0,2.8,,19.4,19.4,3.1,67.6,70.9,2.5,47.0,4.6,12.1,,,14.8,74.4,47.5,,8.9,0.784,,,29.5,128
Fiji,0.736,-17.803,177.983,70.2,10.5,8245,,10.9,10.2,4695,11676,16.0,73.9,66.5,37.0,0.3,0.7,53.7,27.6,43.9,8.9,3.0,2.6,39.8,1,6,7.5,19.1,22.4,139,236,,4.7,,17.0,4.3,3.0,50.2,54.3,,,7.7,18.2,,38.8,13.2,10.6,33.4,15.1,12.3,0.677,,10.5,22.6,84
Mongolia,0.735,46.858,105.408,69.8,9.8,10449,1.026,10.0,9.5,8809,12122,14.5,89.7,85.8,56.5,1.0,1.7,72.0,27.3,41.7,6.0,2.1,2.7,47.1,1,2,10.8,19.0,22.4,132,300,,2.2,0.1,18.0,28.4,2.6,58.1,62.5,35.0,46.8,7.1,14.7,1.5,51.4,6.8,100.0,13.4,13.0,17.1,0.635,15,9.4,12.3,120
Saint Lucia,0.735,13.9336,-60.9708,75.2,9.3,9791,0.986,9.4,9.3,8033,11617,20.7,48.2,42.0,63.1,1.1,0.8,18.5,31.2,34.1,13.3,2.1,1.9,,1,1,2.5,12.7,14.3,110,168,,2.4,,21.1,1.1,3.6,55.6,69.6,,,20.1,47.2,,,,26.5,-9.1,15.6,10.1,0.763,4,9.2,27.4,91
