Major,S1C1GSK,S1C1CE,Wksp,S1C2GSK,S1C2CE,S2C1CE,S2C1GSK
PSD,FM,S&P,FM,DM,O&C,F&S,VTT
DMA,DM,S&P,FM,MM,F&S,O&C,VTT
IAIDP,DM,B&C,MM,FM,P&I,O&C,VTT
FILM,FM,C&P,DM,MM,B&C,O&C,VTT
CAP,FM,S&P,MM,DM,F&S,O&C,VTT
CAP,DM,O&C,MM,FM,B&C,P&I,VTT
VCSB,DM,C&P,MM,FM,O&C,P&I,VTT
HCD,DM,O&C,DM,FM,F&S,P&I,VTT
VCSB,MM,F&S,DM,FM,C&P,P&I,VTT
IAIDP,MM,S&P,FM,DM,F&S,P&I,VTT
IADP,FM,S&P,FM,DM,F&S,P&I,VTT
VCSB,DM,C&P,MM,FM,O&C,P&I,VTT
IADP,DM,O&C,FM,MM,F&S,P&I,VTT
CW,DM,B&C,FM,MM,O&C,P&I,VTT
IAIDP,DM,F&S,MM,FM,S&P,P&I,VTT
