long,lat,group,order,region,subregion,Cases,Incidence_avg,Incidence_alt,PopulationAvg,n_tower,Cent_lon,Cent_lat
-76.1059875488281,42.0952110290527,54,1694,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.1059875488281,42.0894813537598,54,1695,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.1059875488281,42.0035362243652,54,1696,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.1460876464844,42.0035362243652,54,1697,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.5643539428711,42.0035362243652,54,1698,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.5528869628906,42.0379104614258,54,1699,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.5586242675781,42.1582374572754,54,1700,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.5357055664063,42.1582374572754,54,1701,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.5357055664063,42.2842826843262,54,1702,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.4669494628906,42.2842826843262,54,1703,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.4669494628906,42.2670974731445,54,1704,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.4211120605469,42.2670974731445,54,1705,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.4153747558594,42.324390411377,54,1706,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.3638153076172,42.3186645507813,54,1707,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.3580856323242,42.3186645507813,54,1708,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.2835998535156,42.3129348754883,54,1709,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.2835998535156,42.3014755249023,54,1710,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.2492294311524,42.2957458496094,54,1711,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.2320327758789,42.358772277832,54,1712,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.2721405029297,42.3816909790039,54,1713,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.2893371582031,42.3816909790039,54,1714,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.2893371582031,42.4103355407715,54,1715,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.2492294311524,42.4103355407715,54,1716,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.1288986206055,42.4103355407715,54,1717,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.7018661499024,42.5535736083984,55,1719,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.5987243652344,42.5535736083984,55,1720,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.6273727416992,42.5764923095703,55,1721,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.6560287475586,42.6051406860352,55,1722,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.66748046875,42.628059387207,55,1723,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.6216430664063,42.628059387207,55,1724,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
